Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-inera.ehr-commission.json	5915	-	0	0	0	0	0	0	14	45	0	0	0	1	0	0	0	0	0	0	89	119	0	1	0	4	0	1
fsh-generated/resources/CodeSystem-resultcode-cs.json	1584	3	0	0	1	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	14	101	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-getcommissionsforperson-request.json	2869	2	0	7	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	35	698	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-getcommissionsforperson.json	11246	5	0	30	0	0	0	0	0	44	0	0	0	0	0	0	0	1	0	0	131	272	0	0	0	13	0	0
fsh-generated/resources/StructureDefinition-setselectedcommissionforperson-request.json	3608	2	0	7	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	40	87	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-setselectedcommissionforperson.json	2894	2	0	7	1	0	0	1	0	7	0	0	0	0	0	0	0	0	0	0	32	77	0	0	0	2	0	0
fsh-generated/resources/ValueSet-resultcode-vs.json	496	1	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	11	78	0	0	0	1	0	0
/input/includes/menu.xml	757	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	451	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/6-gemensamma-informationskomponenter.md	353	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/3-tjanstedomanens-arkitektur.md	2762	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/4-tjanstedomanens-krav-och-regler.md	2315	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/1-inledning.md	864	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/7-tjanstekontrakt.md	13979	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/5-tjanstedomanens-meddelandemodeller.md	173	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/index.md	1434	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/2-versionsinformation.md	28	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/template/config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config/_config.yml	140	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/img_001.png	30488	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/temp/pages/_includes/artifacts.xml	5681	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0
